Round,Drawing date,First place winners,Second place winners,Third place winners,Fourth place winners,Fifth place winners,1,2,3,4,5,6,Bonus,Total purchased money,Total purchased tickets,Expected First Winner,Expected Second Winner,Expected Third Winner,Expected Fourth Winner,Expected Fifth Winner
1,2002.12.07,0,1,28,2537,40155,10,23,29,33,37,40,16,3681782000,1840891,0.226013191,1.356079145,51.53093159,2511.447476,40908.68889
2,2002.12.14,1,2,103,3763,55480,9,13,21,25,32,42,2,4904274000,2452137,0.301058187,1.806349125,68.6411656,3345.343793,54491.93333
3,2002.12.21,1,0,139,5940,73256,11,16,19,21,27,31,30,4729342000,2364671,0.290319654,1.741917923,66.19278356,3226.017735,52548.24444
4,2002.12.28,0,1,29,2777,52382,14,27,30,31,40,42,2,5271464000,2635732,0.323598844,1.941593064,73.78042772,3595.814461,58571.82222
5,2003.01.04,0,0,42,3043,60434,16,24,29,40,41,42,3,6277102000,3138551,0.385331845,2.311991072,87.8555313,4281.78854,69745.57778
6,2003.01.11,1,3,138,13445,176375,14,15,26,27,40,42,34,15305356000,7652678,0.939548389,5.637290333,214.2167171,10440.21555,170059.5111
7,2003.01.18,0,9,270,13229,206259,2,9,16,25,26,40,42,12794890000,6397445,0.785438659,4.712631951,179.0797503,8727.755798,142165.4444
8,2003.01.25,0,6,348,14279,248242,8,19,25,34,37,39,9,20751450000,10375725,1.273867227,7.643203365,290.4413,14155.15007,230571.6667
9,2003.02.01,0,4,352,23672,603375,2,4,16,17,36,39,14,73624020000,36812010,4.519550501,27.117303,1030.455996,50221.02319,818044.6667
10,2003.02.08,13,236,11247,703234,3410846,9,25,30,33,41,44,6,2.61E+11,130428196,16.01316577,96.07899463,3650.996417,177937.5116,2898404.356
11,2003.02.15,5,11,428,38515,612805,1,7,36,37,41,42,14,91925306000,45962653,5.643009751,33.8580585,1286.604328,62704.8472,1021392.289
12,2003.02.22,12,27,1903,76845,1115084,2,11,21,25,39,45,44,76255508000,38127754,4.681089397,28.08653638,1067.28681,52016.03547,847283.4222
13,2003.03.01,0,6,450,29601,726751,22,23,25,37,38,42,26,66532136000,33266068,4.084201712,24.50521027,931.1966185,45383.44884,739245.9556
14,2003.03.08,4,28,1421,77736,1341756,2,6,12,31,33,40,15,99838648000,49919324,6.128785301,36.7727118,1397.36099,68102.76126,1109318.311
15,2003.03.15,1,16,509,39202,827538,3,4,16,30,31,37,13,73264910000,36632455,4.49750585,26.9850351,1025.429823,49976.06412,814054.5556
16,2003.03.22,4,12,862,47255,870770,6,7,24,37,38,40,33,75777348000,37888674,4.651736635,27.91041981,1060.59439,51689.86903,841970.5333
17,2003.03.29,3,9,1142,61651,961162,3,4,9,17,32,37,1,72718152000,36359076,4.46394207,26.78365242,1017.777293,49603.10505,807979.4667
18,2003.04.05,0,15,664,38453,693323,3,12,13,19,32,35,29,66371660000,33185830,4.074350588,24.44610353,928.9505654,45273.98363,737462.8889
19,2003.04.12,1,14,697,55154,1135991,6,30,38,39,40,43,26,1.06E+11,52978909,6.50442219,39.02653314,1483.006074,72276.81992,1177309.089
20,2003.04.19,1,14,888,48158,827470,10,14,18,20,23,30,41,81056776000,40528388,4.975824365,29.85494619,1134.486284,55291.11596,900630.8444
21,2003.04.26,23,26,2008,82996,1155368,6,12,17,18,31,32,21,84247142000,42123571,5.17167105,31.0300263,1179.139262,57467.35471,936079.3556
22,2003.05.03,4,32,827,53248,937961,4,5,6,8,17,39,25,79455152000,39727576,4.877505629,29.26503378,1112.069645,54198.603,882835.0222
23,2003.05.10,4,23,1372,63717,990081,5,13,17,18,33,42,44,77374256000,38687128,4.74976587,28.49859522,1082.945023,52779.16508,859713.9556
24,2003.05.17,0,18,925,52777,755905,7,8,27,29,36,43,6,78486634000,39243317,4.81805131,28.90830786,1098.51408,53537.94952,872073.7111
25,2003.05.24,2,28,1111,58903,1096200,2,4,21,26,43,44,16,1.20E+11,60036884,7.370956629,44.22573977,1680.575635,81905.70805,1334152.978
26,2003.05.31,5,39,1340,72252,1097093,4,5,7,18,20,25,31,80193026000,40096513,4.922801428,29.53680857,1122.397072,54701.92769,891033.6222
27,2003.06.07,2,16,579,33509,625925,1,20,26,28,37,43,27,76145050000,38072525,4.674308722,28.04585233,1065.740818,51940.68895,846056.1111
28,2003.06.14,10,22,1164,57870,938483,9,18,23,25,35,37,1,75448366000,37724183,4.63154145,27.7892487,1055.989895,51465.46112,838315.1778
29,2003.06.21,5,17,752,42347,765661,1,5,13,34,39,40,11,74523120000,37261560,4.574743464,27.44846078,1043.039973,50834.32469,828034.6667
30,2003.06.28,2,22,872,42319,710466,8,17,20,35,36,44,4,72399690000,36199845,4.444392675,26.66635605,1013.320037,49385.87312,804441
31,2003.07.05,2,29,1130,58406,863641,7,9,18,23,28,35,32,71317306000,35658653,4.377948474,26.26769085,998.1707815,48647.54843,792414.5111
32,2003.07.12,10,49,1203,52704,834746,6,14,19,25,34,44,11,71179198000,35589599,4.369470452,26.21682271,996.2377953,48553.34106,790879.9778
33,2003.07.19,1,41,1063,52142,888943,4,7,32,33,40,41,9,67457252000,33728626,4.140991718,24.84595031,944.1447206,46014.49659,749525.0222
34,2003.07.26,5,45,1264,68519,922063,9,26,35,37,40,42,2,69389894000,34694947,4.259630623,25.55778374,971.1943511,47332.80628,770998.8222
35,2003.08.02,3,24,933,46866,779854,2,3,11,26,37,43,39,66143062000,33071531,4.060317665,24.36190599,925.7510637,45118.05048,734922.9111
36,2003.08.09,1,19,768,38321,673755,1,10,23,26,28,40,31,66856686000,33428343,4.104124831,24.62474899,935.739083,45604.83356,742852.0667
37,2003.08.16,3,20,857,46334,782490,7,27,30,33,35,37,42,65509794000,32754897,4.021443304,24.12865983,916.8877225,44686.08049,727886.6
38,2003.08.23,3,18,679,36377,681031,16,17,22,30,37,43,36,67369284000,33684642,4.135591635,24.81354981,942.9135035,45954.49113,748547.6
39,2003.08.30,6,25,699,38752,680975,6,7,13,15,21,43,8,66094476000,33047238,4.057335121,24.34401073,925.0710447,45084.90859,734383.0667
40,2003.09.06,13,44,1055,65081,798374,7,13,18,19,25,26,6,65699086000,32849543,4.033063354,24.19838012,919.5370899,44815.20191,729989.8444
41,2003.09.13,0,21,700,33805,583744,13,20,23,35,38,43,34,57624562000,28812281,3.53739334,21.22436004,806.5244933,39307.34106,640272.9111
42,2003.09.20,6,35,1405,79543,1393691,17,18,19,21,23,32,1,1.20E+11,59954870,7.360887458,44.16532475,1678.279868,81793.81992,1332330.444
43,2003.09.27,1,21,926,45078,776043,6,31,35,38,39,44,1,74686296000,37343148,4.584760333,27.508562,1045.323816,50945.63165,829847.7333
44,2003.10.04,5,23,785,40092,696051,3,11,21,30,38,45,39,69956950000,34978475,4.294440434,25.7666426,979.1309764,47719.61119,777299.4444
45,2003.10.11,2,27,890,45470,775339,1,10,20,27,33,35,17,71216232000,35608116,4.371743855,26.23046313,996.7561303,48578.603,791291.4667
46,2003.10.18,3,39,1043,45243,745199,8,13,15,23,31,38,39,68181568000,34090784,4.185455233,25.1127314,954.2823872,46508.57299,757572.9778
47,2003.10.25,5,11,902,40580,679466,14,17,26,31,36,45,27,67756694000,33878347,4.159373534,24.95624121,948.3357687,46218.75443,752852.1556
48,2003.11.01,6,25,1279,58047,874668,6,10,18,26,37,38,3,65806832000,32903416,4.039677547,24.23806528,921.0451237,44888.6985,731187.0222
49,2003.11.08,7,49,1487,66451,929635,4,7,16,19,33,40,30,64501142000,32250571,3.959525283,23.7571517,902.7704344,43998.05048,716679.3556
50,2003.11.15,3,14,826,40296,664631,2,10,12,15,22,44,1,65563234000,32781617,4.02472382,24.14834292,917.6356791,44722.53342,728480.3778
51,2003.11.22,6,26,961,45707,706567,2,3,11,16,26,44,35,62553680000,31276840,3.839976624,23.03985974,875.5133804,42669.63165,695040.8889
52,2003.11.29,4,13,669,34665,619109,2,4,15,16,20,29,1,64393446000,32196723,3.952914159,23.71748495,901.2631004,43924.58799,715482.7333
53,2003.12.06,3,25,802,45372,742615,7,8,14,32,33,39,42,64996010000,32498005,3.989903696,23.93942218,909.6967025,44335.61392,722177.8889
54,2003.12.13,3,15,719,34854,617337,1,8,21,27,36,39,37,63833006000,31916503,3.918510484,23.5110629,893.419074,43542.29604,709255.6222
55,2003.12.20,2,24,728,42550,746855,17,21,31,37,40,44,7,62195764000,31097882,3.818005269,22.90803162,870.5039189,42425.48704,691064.0444
56,2003.12.27,4,29,1359,41156,744566,10,14,30,31,33,37,19,65258932000,32629466,4.006043663,24.03626198,913.3766096,44514.96044,725099.2444
57,2004.01.03,4,25,960,44050,763692,7,10,16,25,29,44,6,70132666000,35066333,4.305227095,25.83136257,981.5903314,47839.47203,779251.8444
58,2004.01.10,4,39,1318,58215,880954,10,24,25,33,40,44,1,66638136000,33319068,4.090708724,24.54425234,932.680215,45455.75443,740423.7333
59,2004.01.17,4,23,651,35026,626460,6,29,36,39,41,45,13,67563698000,33781849,4.147526108,24.88515665,945.6345594,46087.10641,750707.7556
60,2004.01.24,7,27,1088,45712,735708,2,8,25,36,39,42,11,65405936000,32702968,4.015067783,24.0904067,915.4341059,44615.23602,726732.6222
61,2004.01.31,5,11,789,41227,714784,14,15,19,30,38,43,8,73312994000,36656497,4.500457578,27.00274547,1026.102816,50008.86357,814588.8222
62,2004.02.07,1,22,829,41686,700804,3,8,15,27,29,35,21,66740368000,33370184,4.09698443,24.58190658,934.1110738,45525.48977,741559.6444
63,2004.02.14,2,26,824,41505,712954,3,20,23,36,38,40,5,67074050000,33537025,4.117468134,24.7048088,938.7813515,45753.10368,745267.2222
64,2004.02.21,4,11,651,37117,654379,14,15,18,21,26,36,39,65085154000,32542577,3.99537597,23.97225582,910.9443791,44396.42156,723168.3778
65,2004.02.28,4,27,1003,52556,848960,4,25,33,36,40,43,39,66685144000,33342572,4.0935944,24.5615664,933.338148,45487.81992,740946.0444
66,2004.03.06,4,19,786,40188,712181,2,3,7,17,22,24,45,63378796000,31689398,3.890627939,23.34376763,887.0618632,43232.46658,704208.8444
67,2004.03.13,7,62,972,46740,748901,3,7,10,15,36,38,33,64314872000,32157436,3.948090745,23.68854447,900.1633636,43870.99045,714609.6889
